LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID73110,73110,37,9.983787536621094,759.0662798761617,701.7276156454959,0.0,22.0,22,5.0,1,,82.83505154639175,79.0,42.0,138.0,8035.0,24.377961534776965,0.3813662014385997,1.8762043149411785,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID72993,72993,37,9.31707763671875,758.1771240768463,707.2104827518266,0.0,23.0,23,5.0,1,,82.09278350515464,75.0,47.0,138.0,7963.0,22.367704804316837,0.35841917803597767,1.936738517627994,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID74144,74144,37,9.58624267578125,756.3735422839939,711.0291254804448,0.0,24.0,24,5.0,1,,79.45360824742268,73.0,41.0,140.0,7707.0,26.142645802467364,0.3658667551905854,1.6282035440312155,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID74259,74259,37,8.478218078613281,755.5085509631493,713.9754360145836,0.0,25.0,25,5.0,1,,77.96907216494846,73.0,45.0,125.0,7563.0,21.110549104775906,0.35498537140389397,1.93521259538981,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID73802,73802,37,9.219863891601562,752.2806507578481,719.0868399796468,0.0,26.0,26,5.0,1,,80.9381443298969,76.0,40.0,138.0,7851.0,24.448421230976965,0.3553571756403034,1.7359761300007877,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID73454,73454,37,10.345718383789062,752.1495072728212,725.1183413734761,0.0,27.0,27,5.0,1,,83.34020618556701,77.0,43.0,155.0,8084.0,26.093935517479498,0.38977372120196635,1.7914860934703845,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID73572,73572,37,9.359062194824219,751.1878265646232,730.7994884893508,0.0,28.0,28,5.0,1,,76.65979381443299,70.0,45.0,141.0,7436.0,23.65942667924094,0.37705321303525535,1.774374751593427,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID73687,73687,37,8.381851196289062,749.42481991713,734.237542897511,0.0,29.0,29,5.0,1,,73.71134020618557,68.0,37.0,133.0,7150.0,24.49360408134072,0.3553021191360214,1.577877524353663,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID74026,74026,37,9.144783020019531,747.0582735916776,736.8654310991983,0.0,30.0,30,5.0,1,,79.61855670103093,74.0,44.0,131.0,7723.0,22.97165068938645,0.3631845514479724,1.8468209979305485,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID73918,73918,37,9.305213928222656,743.7629680487254,740.1991988271463,0.0,31.0,31,5.0,1,,77.6701030927835,74.0,34.0,137.0,7534.0,25.667635932517452,0.3687447293709954,1.6304270358369124,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
